id	dn	ds	dnds
comp10107_c0_seq1_m.4565	0.0529	0.0557	0.949730700179533
comp10150_c0_seq1_m.4589	0.0078	0.0251	0.310756972111554
comp10162_c0_seq1_m.4598	0.0124	0.0189	0.656084656084656
comp102097_c0_seq1_m.12869	0.0781	0.0403	1.93796526054591
comp10388_c0_seq1_m.4744	0.0147	0.0229	0.641921397379913
comp1054_c0_seq1_m.21092	0.0080	0.0507	0.157790927021696
comp10565_c0_seq1_m.4873	0.0237	0.0104	2.27884615384615
comp10669_c0_seq1_m.4947	0.0424	0.0473	0.896405919661734
comp10710_c0_seq1_m.34431	0.0095	0.0394	0.241116751269036
comp10902_c0_seq2_m.25403	0.0059	0.0409	0.144254278728606
comp10908_c0_seq1_m.23744	0.0063	0.0160	0.39375
comp11011_c2_seq1_m.23392	0.0119	0.0397	0.299748110831234
comp11136_c0_seq1_m.5260	0.0164	0.0337	0.486646884272997
comp11162_c0_seq1_m.29033	0.0154	0.0334	0.461077844311377
comp11193_c0_seq1_m.5291	0.0104	0.0199	0.522613065326633
comp11198_c0_seq1_m.5296	0.0211	0.0206	1.02427184466019
comp11253_c0_seq1_m.5325	0.0182	0.0226	0.805309734513274
comp11255_c0_seq1_m.5327	0.0301	0.0661	0.455370650529501
comp11355_c0_seq1_m.5381	0.0299	0.1031	0.290009699321048
comp11480_c0_seq1_m.5467	0.0139	0.0658	0.211246200607903
comp11604_c0_seq2_m.30728	0.0130	0.0072	1.80555555555556
comp11641_c0_seq1_m.26320	0.0092	0.0251	0.366533864541833
comp11712_c0_seq1_m.5649	0.0245	0.0445	0.550561797752809
comp11726_c0_seq1_m.5659	0.0230	0.0115	2
comp11750_c0_seq1_m.5675	0.0068	0.0351	0.193732193732194
comp11761_c0_seq1_m.5680	0.0025	0.0067	0.373134328358209
comp11829_c0_seq1_m.5733	0.0321	0.0650	0.493846153846154
comp11829_c0_seq1_m.5734	0.0139	0.0588	0.236394557823129
comp118351_c0_seq1_m.13366	0.0065	0.0087	0.747126436781609
comp11869_c0_seq1_m.26296	0.0094	0.0304	0.309210526315789
comp11881_c0_seq1_m.5769	0.0123	0.0239	0.514644351464435
comp12080_c0_seq1_m.5906	0.0068	0.0228	0.298245614035088
comp12105_c0_seq1_m.37145	0.0067	0.0188	0.356382978723404
comp12128_c0_seq1_m.36004	0.0099	0.0125	0.792
comp12195_c0_seq1_m.5992	0.0140	0.0426	0.328638497652582
comp12206_c0_seq1_m.17012	0.0104	0.0126	0.825396825396825
comp12240_c0_seq2_m.24279	0.0143	0.0310	0.461290322580645
comp12243_c0_seq1_m.6020	0.0102	0.0182	0.56043956043956
comp12368_c0_seq1_m.6114	0.0257	0.0769	0.334200260078023
comp12509_c0_seq1_m.6215	0.0246	0.0908	0.270925110132159
comp125488_c0_seq1_m.13532	0.0103	0.0293	0.351535836177474
comp12557_c2_seq1_m.30698	0.0131	0.0472	0.277542372881356
comp12561_c0_seq1_m.6253	0.0184	0.0395	0.465822784810127
comp12596_c0_seq1_m.16787	0.0125	0.0269	0.464684014869888
comp12640_c0_seq1_m.6320	0.0078	0.0182	0.428571428571429
comp12747_c0_seq1_m.17539	0.0179	0.0132	1.35606060606061
comp13025_c0_seq1_m.6612	0.0306	0.0905	0.338121546961326
comp13033_c0_seq1_m.6619	-0.0000	0.1080	0
comp13100_c0_seq1_m.38053	0.0255	0.0338	0.754437869822485
comp13118_c0_seq1_m.31168	0.0089	0.0121	0.735537190082645
comp13243_c0_seq1_m.27340	0.0214	0.0284	0.753521126760563
comp13243_c0_seq2_m.27341	0.0051	0.0067	0.761194029850746
comp13278_c0_seq1_m.17046	0.0091	0.0080	1.1375
comp13282_c0_seq3_m.16921	0.0378	0.0438	0.863013698630137
comp13300_c0_seq1_m.33267	0.0204	0.0353	0.577903682719547
comp13447_c0_seq1_m.18158	0.0322	0.0592	0.543918918918919
comp13452_c0_seq1_m.29857	0.0177	0.0424	0.417452830188679
comp13485_c0_seq1_m.6934	0.0140	0.0230	0.608695652173913
comp13531_c0_seq1_m.6961	0.0160	0.0496	0.32258064516129
comp13537_c0_seq1_m.6966	0.0071	0.0314	0.226114649681529
comp13547_c0_seq1_m.6970	0.0019	0.0336	0.056547619047619
comp13612_c0_seq1_m.24808	0.0183	0.0703	0.260312944523471
comp13631_c0_seq1_m.7016	0.0179	0.0360	0.497222222222222
comp13684_c0_seq1_m.7046	0.0190	0.0326	0.582822085889571
comp13844_c0_seq1_m.7152	0.0155	0.0312	0.496794871794872
comp13847_c0_seq1_m.7154	0.0365	0.0446	0.818385650224215
comp13860_c0_seq1_m.7165	0.0207	0.0221	0.936651583710407
comp13907_c0_seq1_m.7196	0.0245	0.0456	0.537280701754386
comp14099_c0_seq1_m.7344	0.0162	0.0417	0.388489208633093
comp14243_c0_seq1_m.7471	0.0164	0.0296	0.554054054054054
comp14245_c1_seq2_m.32292	0.0085	0.0118	0.720338983050848
comp14324_c0_seq1_m.21017	0.0273	0.0359	0.760445682451254
comp14342_c0_seq3_m.29538	0.0159	0.1184	0.134290540540541
comp14424_c0_seq1_m.26573	0.0148	0.0589	0.251273344651952
comp14424_c0_seq1_m.26574	0.0078	0.0912	0.0855263157894737
comp14483_c0_seq1_m.7633	0.0302	0.0825	0.366060606060606
comp14501_c0_seq1_m.7647	0.0258	0.0443	0.582392776523702
comp14507_c0_seq1_m.7652	0.0207	0.0381	0.543307086614173
comp14520_c0_seq1_m.20822	0.0171	0.0228	0.75
comp14547_c0_seq1_m.7682	0.0206	0.0561	0.367201426024955
comp14703_c0_seq1_m.21088	0.0105	0.0804	0.130597014925373
comp14719_c0_seq1_m.7782	0.0202	0.0375	0.538666666666667
comp14825_c0_seq1_m.7848	0.0336	0.0117	2.87179487179487
comp14860_c0_seq1_m.7883	0.0061	0.0274	0.222627737226277
comp14860_c0_seq1_m.7884	0.0290	0.0284	1.02112676056338
comp14867_c0_seq1_m.7893	0.0225	0.0274	0.821167883211679
comp14924_c0_seq1_m.7926	0.0217	0.0609	0.35632183908046
comp14995_c0_seq1_m.38138	0.0286	0.0204	1.40196078431373
comp15001_c0_seq1_m.35341	0.0116	0.0312	0.371794871794872
comp15009_c0_seq1_m.16814	0.0120	0.0193	0.621761658031088
comp15016_c0_seq1_m.17678	0.0051	0.0234	0.217948717948718
comp15070_c0_seq1_m.8030	0.0308	0.0268	1.14925373134328
comp15169_c0_seq1_m.24915	0.0178	0.0215	0.827906976744186
comp15382_c0_seq1_m.8254	0.0327	0.0639	0.511737089201878
comp15388_c0_seq1_m.34922	0.0288	0.0479	0.60125260960334
comp15540_c0_seq2_m.23036	0.0005	0.0022	0.227272727272727
comp15581_c0_seq1_m.8393	0.0093	0.0232	0.400862068965517
comp15591_c0_seq1_m.8403	0.0457	0.1015	0.450246305418719
comp15600_c0_seq1_m.8412	0.0098	0.0247	0.396761133603239
comp15674_c0_seq1_m.8468	0.0112	0.0152	0.736842105263158
comp15723_c0_seq1_m.8496	0.0192	0.0682	0.281524926686217
comp15757_c0_seq1_m.8517	0.0116	0.0652	0.177914110429448
comp15780_c0_seq1_m.8526	0.0446	0.0668	0.667664670658683
comp15795_c0_seq1_m.8536	0.0149	0.0278	0.535971223021583
comp15839_c0_seq1_m.8561	0.0483	0.0590	0.81864406779661
comp15893_c0_seq1_m.8589	0.0136	0.0091	1.49450549450549
comp15894_c0_seq1_m.17429	0.0132	0.0205	0.64390243902439
comp15902_c1_seq1_m.27255	0.0149	0.0413	0.360774818401937
comp15902_c2_seq1_m.27256	0.0182	0.0551	0.330308529945554
comp15980_c0_seq1_m.34239	0.0164	0.0606	0.270627062706271
comp16022_c0_seq3_m.30733	-0.0000	0.1856	0
comp16062_c0_seq1_m.8719	0.0181	0.0406	0.445812807881773
comp16062_c0_seq1_m.8720	0.0316	0.1075	0.293953488372093
comp16203_c0_seq1_m.8804	0.0159	0.0654	0.243119266055046
comp16240_c0_seq3_m.38553	0.0594	0.0471	1.26114649681529
comp16256_c1_seq2_m.29208	0.0130	0.0211	0.616113744075829
comp16271_c0_seq1_m.8842	0.0088	0.0284	0.309859154929577
comp16292_c0_seq1_m.37344	0.0262	0.0799	0.327909887359199
