gene	logfc	fdr
comp0_c0_seq1_m.37635	-0.9514062	0.237345855
comp10_c1_seq1_m.34177	0.534259575	0.711771652
comp100_c0_seq1_m.19	-0.382079222	0.60436116
comp10001_c0_seq1_m.21415	0.136875336	0.81958126
comp10001_c0_seq1_m.21416	-0.067423376	0.98084376
comp10002_c0_seq1_m.21648	-0.055305289	0.98607713
comp10002_c0_seq1_m.21649	0.149221873	0.942812361
comp10002_c0_seq3_m.21650	-0.109910244	0.984524631
comp10004_c0_seq1_m.4495	-0.281844361	0.86663539
comp10005_c0_seq1_m.23150	-0.209759453	0.663194139
comp10005_c0_seq1_m.23151	-0.258218846	0.927638885
comp10005_c0_seq3_m.23152	0.189775154	0.885626824
comp10006_c0_seq1_m.4496	0.083035638	0.936881658
comp10006_c0_seq1_m.4497	-0.013630536	0.993716066
comp10006_c0_seq1_m.4498	0.036595285	0.993716066
comp10007_c0_seq1_m.4499	-0.152775206	0.804498972
comp10007_c0_seq1_m.4500	-1.35210539	0.786505981
comp10009_c0_seq1_m.4502	-0.214842617	0.931981986
comp10009_c0_seq1_m.4503	-0.264047174	0.890210244
comp1001_c0_seq1_m.22220	-0.00074793	0.999276612
comp10010_c0_seq1_m.36526	-0.240537974	0.914025569
comp10011_c0_seq1_m.4504	-0.008748865	0.993716066
comp10012_c0_seq1_m.4505	0.001304177	0.99927636
comp10014_c0_seq1_m.4506	0.026216498	0.984629355
comp10016_c0_seq1_m.4507	-0.650264321	0.047416838
comp10017_c0_seq1_m.32593	-0.280040912	0.72335424
comp10017_c0_seq1_m.32594	0.312576401	0.924540874
comp10017_c0_seq2_m.32595	-0.280040895	0.72335424
comp10017_c0_seq2_m.32596	-0.428426426	0.334909939
comp10017_c0_seq3_m.32597	0.312576397	0.924540874
comp10017_c0_seq4_m.32598	0.189318622	0.887699589
comp10019_c0_seq1_m.21888	0.392474239	0.539906728
comp10019_c1_seq1_m.21889	0.268471027	0.908603413
comp1002_c0_seq1_m.271	-0.30246406	0.905770815
comp10020_c0_seq1_m.4509	-0.439384827	0.435876314
comp10021_c0_seq1_m.35121	-0.104576608	0.931981986
comp10021_c0_seq2_m.35122	-0.282232234	0.927180479
comp10023_c0_seq1_m.4510	-0.122922043	0.925482442
comp10023_c0_seq1_m.4511	0.675012211	0.013490676
comp10024_c0_seq1_m.4512	5.953051644	3.08E-39
comp10025_c0_seq1_m.4513	-0.021956119	0.987716417
comp10026_c0_seq1_m.4514	-0.856335495	0.344282811
comp10027_c0_seq1_m.16435	0.200674184	0.888617044
comp10028_c0_seq1_m.4515	-0.443610614	0.705083847
comp10029_c0_seq1_m.4516	-0.01412434	0.989890801
comp10029_c0_seq1_m.4517	0.027860475	0.986042042
comp10030_c0_seq1_m.4518	-0.067705232	0.934322196
comp10031_c0_seq1_m.38930	-0.207206546	0.93532927
