id	sd_lm
comp11868_c0_seq1_m.34144	both_somerec
comp18977_c0_seq1_m.10430	both_somerec
comp10847_c0_seq1_m.24538	both_somerec
comp14440_c0_seq1_m.7599	both_somerec
comp17025_c0_seq1_m.9304	both_somerec
comp11604_c0_seq2_m.30728	both_somerec
comp11420_c0_seq1_m.5428	both_somerec
comp18507_c0_seq1_m.36649	both_somerec
comp11011_c2_seq1_m.23392	both_somerec
comp11255_c0_seq1_m.5327	both_somerec
comp11750_c0_seq1_m.5675	both_somerec
comp11761_c0_seq1_m.5680	both_somerec
comp12369_c0_seq1_m.6116	both_somerec
comp12537_c0_seq1_m.6236	both_somerec
comp12918_c0_seq1_m.6527	both_somerec
comp13952_c0_seq1_m.30306	both_somerec
comp14486_c0_seq1_m.20041	both_somerec
comp14520_c0_seq1_m.20822	both_somerec
comp14985_c0_seq1_m.7973	both_somerec
comp15169_c0_seq1_m.24915	both_somerec
comp16387_c0_seq1_m.8912	both_somerec
comp17626_c1_seq1_m.38358	both_somerec
comp17716_c0_seq1_m.36078	both_somerec
comp17885_c0_seq1_m.9819	both_somerec
comp18186_c0_seq1_m.10006	both_somerec
comp33134_c0_seq1_m.11144	both_somerec
comp6500_c0_seq2_m.16557	both_somerec
comp9162_c0_seq1_m.3949	both_somerec
comp9449_c0_seq1_m.4145	both_somerec
comp13571_c0_seq1_m.35670	both_somerec
comp17034_c0_seq1_m.9311	both_somerec
comp11869_c0_seq1_m.26296	both_somerec
comp14099_c0_seq1_m.7344	both_somerec
comp14342_c0_seq3_m.29538	both_somerec
comp15048_c0_seq1_m.35521	both_somerec
comp18422_c0_seq1_m.17638	both_somerec
comp18512_c0_seq1_m.10179	both_somerec
comp7637_c0_seq1_m.3052	both_somerec
comp8949_c0_seq1_m.31288	both_somerec
comp8949_c2_seq1_m.31290	both_somerec
comp9002_c0_seq1_m.3853	both_somerec
comp9978_c0_seq1_m.4484	both_somerec
comp10236_c0_seq2_m.20680	both_somerec
comp11355_c0_seq1_m.5381	both_somerec
comp12162_c0_seq1_m.5973	both_somerec
comp12195_c0_seq1_m.5992	both_somerec
comp12206_c0_seq1_m.17012	both_somerec
comp12557_c2_seq1_m.30698	both_somerec
comp12561_c0_seq1_m.6253	both_somerec
comp13243_c0_seq1_m.27340	both_somerec
comp13243_c0_seq2_m.27341	both_somerec
comp13770_c0_seq1_m.7109	both_somerec
comp13907_c0_seq1_m.7196	both_somerec
comp14238_c0_seq1_m.7469	both_somerec
comp14339_c0_seq1_m.7544	both_somerec
comp14391_c1_seq3_m.28728	both_somerec
comp14703_c0_seq1_m.21088	both_somerec
comp14707_c0_seq1_m.7773	both_somerec
comp14707_c0_seq1_m.7774	both_somerec
comp14728_c0_seq1_m.37251	both_somerec
comp14825_c0_seq1_m.7848	both_somerec
comp14976_c0_seq1_m.7969	both_somerec
comp14991_c0_seq1_m.7983	both_somerec
comp16203_c0_seq1_m.8804	both_somerec
comp16226_c0_seq1_m.16662	both_somerec
comp16652_c0_seq1_m.37651	both_somerec
comp16783_c0_seq1_m.30984	both_somerec
comp16827_c0_seq1_m.24466	both_somerec
comp17470_c0_seq2_m.30785	both_somerec
comp17753_c0_seq1_m.9744	both_somerec
comp17802_c0_seq1_m.9772	both_somerec
comp18365_c0_seq1_m.20304	both_somerec
comp19038_c0_seq1_m.10452	both_somerec
comp6386_c0_seq1_m.2297	both_somerec
comp6921_c0_seq1_m.2638	both_somerec
comp7062_c0_seq1_m.2709	both_somerec
comp8087_c0_seq1_m.3305	both_somerec
comp8768_c0_seq1_m.3683	both_somerec
comp9089_c0_seq1_m.3911	both_somerec
comp9220_c0_seq1_m.3988	both_somerec
comp9376_c0_seq1_m.4097	both_somerec
comp9391_c0_seq1_m.4103	both_somerec
comp10150_c0_seq1_m.4589	both
comp10162_c0_seq1_m.4598	both
comp10162_c0_seq1_m.4599	both
comp102097_c0_seq1_m.12869	both
comp10302_c0_seq1_m.4688	both
comp10302_c0_seq1_m.4689	both
comp10381_c0_seq1_m.4738	both
comp10388_c0_seq1_m.4744	both
comp10457_c0_seq1_m.4789	both
comp10500_c0_seq1_m.4826	both
comp1054_c0_seq1_m.21092	both
comp10565_c0_seq1_m.4873	both
comp10669_c0_seq1_m.4947	both
comp10710_c0_seq1_m.34431	both
comp10775_c0_seq1_m.5023	both
comp10782_c0_seq1_m.5030	both
comp10817_c0_seq1_m.5053	both
comp10859_c0_seq1_m.5077	both
comp10908_c0_seq1_m.23744	both
comp10953_c0_seq1_m.5140	both
comp11083_c0_seq1_m.5228	both
comp11136_c0_seq1_m.5260	both
comp11155_c0_seq2_m.25333	both
comp11162_c0_seq1_m.29033	both
comp11174_c0_seq1_m.28665	both
comp11194_c0_seq1_m.5292	both
comp11198_c0_seq1_m.5296	both
comp11253_c0_seq1_m.5325	both
comp11315_c0_seq1_m.5359	both
comp11332_c0_seq1_m.17867	both
comp11397_c0_seq1_m.27212	both
comp11472_c0_seq1_m.5457	both
comp11480_c0_seq1_m.5467	both
comp11528_c0_seq1_m.5505	both
comp11546_c0_seq1_m.5518	both
comp11700_c0_seq1_m.5642	both
comp11712_c0_seq1_m.5649	both
comp11714_c0_seq1_m.16484	both
comp11726_c0_seq1_m.5659	both
comp11790_c0_seq1_m.5704	both
comp11806_c0_seq1_m.5711	both
comp11822_c0_seq1_m.5726	both
comp11829_c0_seq1_m.5733	both
comp11829_c0_seq1_m.5734	both
comp118351_c0_seq1_m.13366	both
comp11840_c0_seq1_m.5741	both
comp11881_c0_seq1_m.5769	both
comp11963_c0_seq1_m.5824	both
comp12080_c0_seq1_m.5906	both
comp12105_c0_seq1_m.37145	both
comp12134_c0_seq1_m.5949	both
comp12240_c0_seq2_m.24279	both
comp12243_c0_seq1_m.6020	both
comp12252_c0_seq1_m.6026	both
comp12278_c0_seq1_m.24834	both
comp12328_c0_seq1_m.6085	both
comp12368_c0_seq1_m.6114	both
comp12473_c0_seq1_m.29851	both
comp12509_c0_seq1_m.6215	both
comp12596_c0_seq1_m.16787	both
comp12640_c0_seq1_m.6320	both
comp12686_c0_seq1_m.6356	both
comp12747_c0_seq1_m.17539	both
comp12890_c0_seq1_m.6499	both
comp12990_c2_seq1_m.38163	both
comp13025_c0_seq1_m.6612	both
comp13033_c0_seq1_m.6619	both
comp13048_c0_seq1_m.6629	both
comp13056_c0_seq1_m.6632	both
comp13070_c0_seq1_m.6640	both
comp13100_c0_seq1_m.38053	both
comp13181_c0_seq1_m.6712	both
comp13213_c0_seq1_m.6735	both
comp13278_c0_seq1_m.17046	both
comp13293_c0_seq1_m.6800	both
comp13300_c0_seq1_m.33267	both
comp13447_c0_seq1_m.18158	both
comp13452_c0_seq1_m.29857	both
comp13467_c0_seq1_m.16127	both
comp13485_c0_seq1_m.6934	both
comp13531_c0_seq1_m.6961	both
comp13535_c0_seq1_m.6964	both
comp13537_c0_seq1_m.6966	both
comp13547_c0_seq1_m.6970	both
comp13585_c0_seq1_m.36388	both
comp13601_c0_seq1_m.7003	both
comp13612_c0_seq1_m.24808	both
comp13631_c0_seq1_m.7016	both
comp13654_c0_seq1_m.17121	both
comp13684_c0_seq1_m.7046	both
comp13691_c1_seq1_m.34212	both
comp13703_c0_seq1_m.16491	both
comp13711_c0_seq1_m.7067	both
comp13844_c0_seq1_m.7152	both
comp13847_c0_seq1_m.7154	both
comp13854_c0_seq1_m.28281	both
comp13860_c0_seq1_m.7165	both
comp13861_c0_seq1_m.34154	both
comp13878_c0_seq1_m.7177	both
comp13917_c0_seq1_m.7205	both
comp14033_c0_seq1_m.38917	both
comp14068_c0_seq1_m.7313	both
comp14079_c0_seq1_m.7322	both
comp14079_c0_seq1_m.7323	both
comp14243_c0_seq1_m.7471	both
comp14245_c1_seq2_m.32292	both
comp14277_c0_seq1_m.7494	both
comp14324_c0_seq1_m.21017	both
comp14424_c0_seq1_m.26573	both
comp14424_c0_seq1_m.26574	both
comp14450_c1_seq1_m.25917	both
comp14463_c0_seq1_m.18279	both
comp14483_c0_seq1_m.7633	both
comp14497_c0_seq1_m.7644	both
comp14498_c0_seq1_m.26541	both
comp14501_c0_seq1_m.7647	both
comp14507_c0_seq1_m.7652	both
comp14547_c0_seq1_m.7682	both
comp14595_c0_seq1_m.7707	both
comp14596_c1_seq1_m.26545	both
comp14702_c0_seq1_m.38904	both
comp14709_c0_seq2_m.26269	both
comp14719_c0_seq1_m.7782	both
comp14751_c0_seq1_m.7803	both
comp14860_c0_seq1_m.7883	both
comp14867_c0_seq1_m.7893	both
comp14909_c0_seq1_m.7917	both
comp14917_c0_seq1_m.33720	both
comp14924_c0_seq1_m.7926	both
comp14966_c0_seq1_m.37445	both
comp14995_c0_seq1_m.38138	both
comp15001_c0_seq1_m.35341	both
comp15009_c0_seq1_m.16814	both
comp15016_c0_seq1_m.17678	both
comp15070_c0_seq1_m.8030	both
comp15144_c0_seq1_m.8091	both
comp15268_c0_seq1_m.8182	both
comp15320_c0_seq1_m.8204	both
comp15383_c0_seq1_m.8255	both
comp15388_c0_seq1_m.34922	both
comp15438_c0_seq1_m.8288	both
comp15465_c0_seq1_m.26119	both
comp15540_c0_seq2_m.23036	both
comp15560_c0_seq1_m.19846	both
comp15581_c0_seq1_m.8393	both
comp15600_c0_seq1_m.8412	both
comp15674_c0_seq1_m.8468	both
comp15723_c0_seq1_m.8496	both
comp15757_c0_seq1_m.8517	both
comp15757_c0_seq1_m.8518	both
comp15780_c0_seq1_m.8526	both
comp15795_c0_seq1_m.8536	both
comp15839_c0_seq1_m.8561	both
comp15856_c0_seq1_m.8567	both
comp15894_c0_seq1_m.17429	both
comp15980_c0_seq1_m.34239	both
comp15981_c0_seq1_m.29347	both
comp15981_c0_seq1_m.29348	both
comp15985_c0_seq1_m.8649	both
comp15989_c0_seq1_m.8653	both
comp16022_c0_seq1_m.30732	both
comp16022_c0_seq2_m.30731	both
comp16039_c1_seq1_m.35112	both
comp16062_c0_seq1_m.8719	both
comp16062_c0_seq1_m.8720	both
comp16176_c0_seq1_m.8794	both
comp16235_c0_seq1_m.8821	both
comp16240_c0_seq3_m.38552	both
comp16240_c0_seq3_m.38553	both
comp16271_c0_seq1_m.8842	both
comp16292_c0_seq1_m.37344	both
comp16299_c0_seq1_m.30226	both
comp16355_c1_seq3_m.32927	both
comp16355_c1_seq3_m.32928	both
comp16366_c0_seq1_m.8897	both
comp16379_c0_seq1_m.8905	both
comp16393_c0_seq1_m.8917	both
comp16411_c0_seq1_m.8929	both
comp16444_c0_seq1_m.8947	both
comp16476_c0_seq1_m.32653	both
comp16497_c0_seq1_m.8980	both
comp16510_c0_seq1_m.8991	both
comp16531_c0_seq1_m.9008	both
comp16531_c0_seq1_m.9009	both
comp16555_c0_seq1_m.9027	both
comp16617_c0_seq1_m.23567	both
comp16667_c0_seq1_m.9100	both
comp16678_c0_seq1_m.19751	both
comp16680_c0_seq1_m.9113	both
comp16691_c0_seq1_m.9117	both
comp16848_c0_seq1_m.35578	both
comp16850_c0_seq1_m.9213	both
comp16861_c0_seq1_m.26106	both
comp16861_c0_seq2_m.26102	both
comp16967_c1_seq1_m.26144	both
comp16988_c0_seq1_m.26518	both
comp16992_c0_seq2_m.18559	both
comp17101_c0_seq1_m.31500	both
comp17102_c0_seq1_m.28287	both
comp17124_c0_seq1_m.39118	both
comp17130_c0_seq1_m.9368	both
comp17150_c0_seq1_m.9381	both
comp17178_c1_seq4_m.35601	both
comp17192_c0_seq1_m.29073	both
comp17213_c0_seq1_m.9417	both
comp17271_c0_seq1_m.9458	both
comp17277_c0_seq1_m.9462	both
comp17277_c0_seq1_m.9463	both
comp17334_c0_seq1_m.21089	both
comp17347_c0_seq2_m.15321	both
comp17348_c0_seq1_m.18787	both
comp17348_c0_seq1_m.18790	both
comp17353_c0_seq1_m.9508	both
comp17353_c0_seq1_m.9511	both
comp17371_c0_seq1_m.25757	both
comp17451_c0_seq1_m.9570	both
comp17462_c0_seq1_m.9579	both
comp17509_c0_seq1_m.9612	both
comp17661_c0_seq1_m.9689	both
comp17692_c0_seq1_m.9703	both
comp17694_c0_seq1_m.9705	both
comp17709_c0_seq1_m.9717	both
comp17711_c0_seq1_m.9719	both
comp17788_c0_seq1_m.9759	both
comp17788_c0_seq1_m.9760	both
comp17791_c0_seq1_m.19463	both
comp17826_c0_seq1_m.9791	both
comp17836_c0_seq2_m.24194	both
comp17865_c0_seq1_m.27622	both
comp17886_c0_seq1_m.20528	both
comp17913_c0_seq1_m.32854	both
comp17913_c0_seq2_m.32856	both
comp17926_c0_seq1_m.32436	both
comp17948_c0_seq2_m.28833	both
comp18025_c0_seq1_m.9884	both
comp18047_c0_seq1_m.9901	both
comp18047_c0_seq1_m.9903	both
comp18080_c0_seq1_m.9922	both
comp18083_c0_seq1_m.9925	both
comp18093_c0_seq2_m.16710	both
comp18106_c0_seq1_m.19568	both
comp18130_c0_seq1_m.9963	both
comp18138_c0_seq1_m.9964	both
comp18149_c0_seq2_m.16715	both
comp18149_c0_seq2_m.16716	both
comp18156_c0_seq1_m.9982	both
comp18172_c0_seq1_m.16667	both
comp18232_c1_seq9_m.23122	both
comp18335_c0_seq1_m.10079	both
comp18434_c0_seq1_m.10134	both
comp18543_c0_seq1_m.10193	both
comp18691_c0_seq1_m.10293	both
comp18710_c0_seq1_m.10302	both
comp18769_c0_seq1_m.30088	both
comp18797_c0_seq1_m.29884	both
comp18798_c0_seq2_m.26159	both
comp18811_c0_seq1_m.10342	both
comp18818_c0_seq10_m.36126	both
comp18849_c0_seq1_m.25736	both
comp18854_c0_seq1_m.33740	both
comp18902_c0_seq32_m.21806	both
comp18934_c0_seq2_m.18616	both
comp18986_c0_seq1_m.10434	both
comp19038_c0_seq1_m.10449	both
comp19038_c0_seq1_m.10450	both
comp19038_c0_seq1_m.10451	both
comp19231_c0_seq1_m.10492	both
comp20191_c0_seq1_m.10612	both
comp20280_c0_seq1_m.10626	both
comp22042_c0_seq1_m.10760	both
comp23207_c0_seq1_m.10829	both
comp24382_c0_seq1_m.10882	both
comp32875_c0_seq1_m.11138	both
comp3863_c0_seq1_m.773	both
comp3917_c0_seq2_m.24217	both
comp3975_c0_seq1_m.855	both
comp4001_c0_seq1_m.15992	both
comp4154_c0_seq1_m.986	both
comp4389_c0_seq1_m.17333	both
comp4392_c0_seq1_m.1126	both
comp4439_c0_seq1_m.1164	both
comp4448_c0_seq1_m.1170	both
comp45735_c0_seq1_m.11450	both
comp4638_c0_seq1_m.1333	both
comp480_c0_seq1_m.137	both
comp4917_c0_seq1_m.1545	both
comp5048_c0_seq1_m.1649	both
comp5060_c0_seq1_m.1657	both
comp5136_c0_seq1_m.1711	both
comp5261_c0_seq1_m.1764	both
comp53490_c0_seq1_m.11650	both
comp53760_c0_seq1_m.11659	both
comp5528_c0_seq1_m.1887	both
comp5545_c0_seq1_m.1898	both
comp5914_c0_seq1_m.2043	both
comp6036_c0_seq1_m.2080	both
comp6265_c0_seq1_m.2210	both
comp6471_c0_seq1_m.2333	both
comp6544_c0_seq1_m.2373	both
comp6625_c0_seq1_m.20720	both
comp6748_c0_seq1_m.2515	both
comp6756_c0_seq1_m.2522	both
comp7136_c0_seq1_m.2756	both
comp7163_c0_seq1_m.18448	both
comp7278_c0_seq1_m.2835	both
comp73040_c0_seq1_m.12099	both
comp7519_c0_seq1_m.2984	both
comp7673_c0_seq1_m.3070	both
comp7717_c0_seq1_m.3099	both
comp7858_c0_seq1_m.3180	both
comp7884_c0_seq2_m.19474	both
comp7934_c0_seq1_m.3227	both
comp7938_c0_seq1_m.3231	both
comp7940_c0_seq1_m.3233	both
comp7949_c0_seq1_m.3238	both
comp8103_c0_seq1_m.3316	both
comp8335_c0_seq1_m.3424	both
comp8454_c0_seq1_m.3504	both
comp8725_c0_seq1_m.3654	both
comp8742_c0_seq2_m.26342	both
comp8767_c0_seq1_m.3682	both
comp8842_c0_seq1_m.3741	both
comp8872_c0_seq1_m.3768	both
comp8886_c0_seq1_m.3776	both
comp9041_c0_seq1_m.34951	both
comp9176_c0_seq1_m.29827	both
comp9185_c0_seq1_m.26430	both
comp9188_c0_seq1_m.3966	both
comp9208_c0_seq1_m.3980	both
comp9234_c0_seq1_m.3993	both
