DataSet	Sequence
1	comp10162_c0_seq1_m.4598
2	comp10381_c0_seq1_m.4738
3	comp10500_c0_seq1_m.4826
4	comp10775_c0_seq1_m.5023
5	comp10817_c0_seq1_m.5053
6	comp10908_c0_seq1_m.23744
7	comp11083_c0_seq1_m.5228
8	comp11136_c0_seq1_m.5260
9	comp11198_c0_seq1_m.5296
10	comp11528_c0_seq1_m.5505
11	comp11546_c0_seq1_m.5518
12	comp11726_c0_seq1_m.5659
13	comp11790_c0_seq1_m.5704
14	comp11822_c0_seq1_m.5726
15	comp12105_c0_seq1_m.37145
16	comp12243_c0_seq1_m.6020
17	comp12368_c0_seq1_m.6114
18	comp12473_c0_seq1_m.29851
19	comp12509_c0_seq1_m.6215
20	comp12596_c0_seq1_m.16787
21	comp12640_c0_seq1_m.6320
22	comp13293_c0_seq1_m.6800
23	comp13452_c0_seq1_m.29857
24	comp13467_c0_seq1_m.16127
25	comp13485_c0_seq1_m.6934
26	comp13601_c0_seq1_m.7003
27	comp13631_c0_seq1_m.7016
28	comp13654_c0_seq1_m.17121
29	comp13861_c0_seq1_m.34154
30	comp14079_c0_seq1_m.7322
31	comp14243_c0_seq1_m.7471
32	comp14277_c0_seq1_m.7494
33	comp14507_c0_seq1_m.7652
34	comp14719_c0_seq1_m.7782
35	comp14860_c0_seq1_m.7883
36	comp14867_c0_seq1_m.7893
37	comp14909_c0_seq1_m.7917
38	comp14924_c0_seq1_m.7926
39	comp14995_c0_seq1_m.38138
40	comp15009_c0_seq1_m.16814
41	comp15016_c0_seq1_m.17678
42	comp15070_c0_seq1_m.8030
43	comp15144_c0_seq1_m.8091
44	comp15268_c0_seq1_m.8182
45	comp15438_c0_seq1_m.8288
46	comp15600_c0_seq1_m.8412
47	comp15674_c0_seq1_m.8468
48	comp15723_c0_seq1_m.8496
49	comp15757_c0_seq1_m.8517
50	comp15856_c0_seq1_m.8567
51	comp15894_c0_seq1_m.17429
52	comp15981_c0_seq1_m.29347
53	comp15985_c0_seq1_m.8649
54	comp16062_c0_seq1_m.8719
55	comp16176_c0_seq1_m.8794
56	comp16240_c0_seq3_m.38552
57	comp16271_c0_seq1_m.8842
58	comp16393_c0_seq1_m.8917
59	comp16476_c0_seq1_m.32653
60	comp16497_c0_seq1_m.8980
61	comp16680_c0_seq1_m.9113
62	comp16850_c0_seq1_m.9213
63	comp16988_c0_seq1_m.26518
64	comp17101_c0_seq1_m.31500
65	comp17130_c0_seq1_m.9368
66	comp17192_c0_seq1_m.29073
67	comp17271_c0_seq1_m.9458
68	comp17347_c0_seq2_m.15321
69	comp17353_c0_seq1_m.9508
70	comp17451_c0_seq1_m.9570
71	comp17791_c0_seq1_m.19463
72	comp17926_c0_seq1_m.32436
73	comp18080_c0_seq1_m.9922
74	comp18130_c0_seq1_m.9963
75	comp18156_c0_seq1_m.9982
76	comp18543_c0_seq1_m.10193
77	comp18691_c0_seq1_m.10293
78	comp18710_c0_seq1_m.10302
79	comp23207_c0_seq1_m.10829
80	comp24382_c0_seq1_m.10882
81	comp32875_c0_seq1_m.11138
82	comp4001_c0_seq1_m.15992
83	comp4392_c0_seq1_m.1126
84	comp4448_c0_seq1_m.1170
85	comp4638_c0_seq1_m.1333
86	comp6036_c0_seq1_m.2080
87	comp6625_c0_seq1_m.20720
88	comp7717_c0_seq1_m.3099
89	comp7934_c0_seq1_m.3227
90	comp8742_c0_seq2_m.26342
91	comp8767_c0_seq1_m.3682
92	comp8872_c0_seq1_m.3768
93	comp9381_c0_seq1_m.4099
94	comp9456_c0_seq1_m.4151
95	comp9662_c0_seq1_m.21095
96	comp9765_c0_seq1_m.4338
97	comp9782_c0_seq1_m.4358
98	comp9895_c0_seq1_m.4407
