Transcript	meanFST	WeightFST	Transcript2	Scaffold	Start	End	Length	Sex.Linkage	LG	cm_male	cf_female
comp17646_c0_seq1_m.9678	 -0.0047004	 0.00073668	comp17646_c0_seq1_m.9678	scaffold_1642	1	3855	3854	Au	4	13.18	18.96
comp4655_c0_seq1_m.1345	 0.013498	 -0.00073714	comp4655_c0_seq1_m.1345	scaffold_88	11137	11903	766	Au	3	74.15	85.65
comp16989_c0_seq1_m.9288	 -0.015376	 -0.021898	comp16989_c0_seq1_m.9288	scaffold22295_1_size3752	1318	3036	1718	PAR	1	9.4	7.48
comp18344_c0_seq1_m.27693	 -0.006774	 -0.0088973	comp18344_c0_seq1_m.27693	scaffold4253_1_size18352	225	2633	2408	Au	3	61.19	80.09
comp11306_c0_seq2_m.24441	 -0.019386	 -0.025529	comp11306_c0_seq2_m.24441	scaffold398_1_size59493	302	33822	33520	Au	3	37.11	39.34
comp12252_c0_seq1_m.6026	 0.00050926	 -0.007085	comp12252_c0_seq1_m.6026	scaffold_2694	7133	26623	19490	SL	1	53.85	48.3
comp12024_c0_seq1_m.5868	 -0.030702	 -0.030702	comp12024_c0_seq1_m.5868	scaffold5365_1_size15695	13929	15086	1157	Au	5	37.11	20.81
comp4891_c0_seq1_m.26887	 -0.0036369	 -0.0019779	comp4891_c0_seq1_m.26887	scaffold1129_1_size38664	27900	36028	8128	Au	2	50.91	55.78
comp9152_c0_seq1_m.28433	 -nan	 -nan	comp9152_c0_seq1_m.28433	scaffold_2109	19688	32664	12976	Au	6	13.26	7.48
comp12476_c0_seq1_m.37884	 -0.018	 -0.018116	comp12476_c0_seq1_m.37884	scaffold1_1_size329358	35023	48829	13806	Au	4	28	33.78
comp76870_c0_seq1_m.12216	 -0.018087	 -0.021228	comp76870_c0_seq1_m.12216	scaffold2086_1_size28282	25557	26105	548	PAR	1	100.15	83.49
comp15683_c0_seq1_m.8472	 -0.01304	 -0.018947	comp15683_c0_seq1_m.8472	scaffold4995_1_size16489	7393	15333	7940	Au	8	41.81	39.18
comp9049_c0_seq1_m.3882	 -0.012969	 -0.014863	comp9049_c0_seq1_m.3882	scaffold6030_1_size14320	9815	13246	3431	Au	7	31.49	41.27
comp11295_c0_seq1_m.25308	 0.00018434	 0.0059732	comp11295_c0_seq1_m.25308	scaffold16543_1_size6150	622	3170	2548	Au	6	42.89	46.37
comp65037_c0_seq1_m.11897	 -0.0072826	 -0.016119	comp65037_c0_seq1_m.11897	scaffold_2818	79824	81687	1863	Au	6	20.66	14.89
comp112613_c0_seq1_m.13207	 -0.0071024	 -0.014453	comp112613_c0_seq1_m.13207	scaffold5475_1_size15452	4359	4874	515	Au	6	44.74	53.78
comp9066_c0_seq1_m.3899	 -nan	 -nan	comp9066_c0_seq1_m.3899	scaffold_3286	11261	11781	520	Au	5	14.89	17.11
comp18255_c0_seq1_m.10042	 -nan	 -nan	comp18255_c0_seq1_m.10042	scaffold3456_1_size21118	9520	12279	2759	Au	8	58.48	59.55
comp9614_c0_seq1_m.4256	 -0.0047849	 -0.010473	comp9614_c0_seq1_m.4256	scaffold1921_1_size29604	21585	25167	3582	Au	2	45.35	33.56
comp4392_c0_seq1_m.1126	 0.0025984	 0.0058214	comp4392_c0_seq1_m.1126	scaffold_1888	46376	52471	6095	SL	1	53.85	68.67
comp4364_c0_seq1_m.1104	 -nan	 -nan	comp4364_c0_seq1_m.1104	scaffold2017_1_size28902	23157	28094	4937	PAR	1	52	44.59
comp4873_c0_seq1_m.1521	 -0.026605	 -0.026605	comp4873_c0_seq1_m.1521	scaffold1870_1_size30016	11999	15414	3415	Au	3	55.63	78.24
comp15990_c0_seq1_m.30115	 -0.019716	 -0.023563	comp15990_c0_seq1_m.30115	scaffold10038_1_size9395	2621	3604	983	Au	8	49.22	42.88
comp15274_c0_seq1_m.8185	 -0.0035088	 -0.028509	comp15274_c0_seq1_m.8185	scaffold17059_1_size6007	1	723	722	Au	3	5.63	13.42
comp16732_c0_seq1_m.9145	 -0.0070706	 -0.013937	comp16732_c0_seq1_m.9145	scaffold6116_1_size14145	6349	7351	1002	Au	2	19.42	9.48
comp14843_c0_seq1_m.19609	 -nan	 -nan	comp14843_c0_seq1_m.19609	scaffold_510	25108	27084	1976	Au	2	47.2	35.41
comp65133_c0_seq1_m.11903	 0.078947	 0.078947	comp65133_c0_seq1_m.11903	scaffold562_1_size52050	16606	18432	1826	Au	3	42.67	57.86
comp4322_c0_seq1_m.1068	 -0.012728	 0.0094737	comp4322_c0_seq1_m.1068	scaffold12690_1_size7422	79	2386	2307	PAR	1	11.25	9.33
comp5591_c0_seq1_m.1920	 -0.0068232	 -0.011386	comp5591_c0_seq1_m.1920	scaffold_38	5318	6749	1431	Au	3	14.89	20.82
comp15330_c0_seq1_m.8217	 -0.015331	 -0.0085213	comp15330_c0_seq1_m.8217	scaffold_1037	4757	15568	10811	Au	2	52.76	59.49
comp49456_c0_seq1_m.11541	 -0.011856	 -0.016738	comp49456_c0_seq1_m.11541	scaffold_16	73358	75907	2549	Au	8	21.44	16.95
comp9677_c0_seq1_m.29843	 -0.015687	 -0.027916	comp9677_c0_seq1_m.29843	scaffold1344_1_size35590	20397	23598	3201	Au	3	50.08	67.13
comp11454_c0_seq1_m.25571	 0.061033	 0.061033	comp11454_c0_seq1_m.25571	scaffold743_1_size46589	34622	38406	3784	Au	4	22.44	31.92
comp10950_c0_seq1_m.36053	 0.012811	 0.020942	comp10950_c0_seq1_m.36053	scaffold7133_1_size12558	6882	8282	1400	Au	5	55.63	56
comp18688_c0_seq1_m.38600	 0.00078934	 0.001604	comp18688_c0_seq1_m.38600	scaffold45485_1_size1641	4	1092	1088	Au	7	1.85	13.49
comp7469_c0_seq1_m.37699	 -0.021778	 -0.025906	comp7469_c0_seq1_m.37699	scaffold3198_1_size22124	9834	14637	4803	Au	8	38.11	35.47
comp30345_c0_seq1_m.11088	 -0.0078947	 -0.021531	comp30345_c0_seq1_m.11088	scaffold1328_1_size35821	27613	29997	2384	Au	5	55.63	44.89
comp122101_c0_seq1_m.13404	 -0.01162	 -0.01162	comp122101_c0_seq1_m.13404	scaffold_491	4984	5984	1000	Au	5	55.63	48.59
comp18590_c0_seq1_m.26557	 -0.018244	 -0.024963	comp18590_c0_seq1_m.26557	scaffold_3867	400	49548	49148	Au	2	39.8	33.56
