lg	cm	id	sd
1 0.00 comp5317_c0_seq1_m.16892 Au
1 3.78 comp10678_c0_seq1_m.4952 Au
1 7.55 comp6490_c0_seq1_m.2340 Au
1 7.55 comp16951_c0_seq1_m.9264 Au
1 7.55 comp11257_c1_seq1_m.30715 Au
1 7.55 comp26181_c0_seq1_m.10973 Au
1 7.55 comp19818_c0_seq1_m.10573 Au
1 7.55 comp9329_c0_seq1_m.4067 Au
1 7.55 comp18374_c0_seq1_m.10099 Au
1 7.55 comp6141_c0_seq1_m.2139 Au
1 7.55 comp10366_c0_seq1_m.4730 Au
1 7.55 comp18579_c0_seq4_m.20817 Au
1 7.55 comp16683_c0_seq1_m.37056 Au
1 7.55 comp15601_c0_seq1_m.8413 Au
1 7.55 comp8419_c0_seq2_m.27382 Au
1 7.55 comp17395_c0_seq1_m.9538 Au
1 7.55 comp11390_c0_seq1_m.5410 Au
1 7.55 comp12818_c0_seq1_m.19583 Au
1 7.55 comp18115_c0_seq1_m.9951 Au
1 7.55 comp18605_c0_seq1_m.18061 Au
1 7.55 comp6692_c0_seq1_m.26755 Au
1 7.55 comp12818_c1_seq1_m.19585 Au
1 7.55 comp13562_c0_seq1_m.6980 Au
1 7.55 comp12076_c0_seq1_m.5903 Au
1 7.55 comp18948_c0_seq1_m.10400 Au
1 7.55 comp11003_c0_seq1_m.5173 Au
1 7.55 comp13708_c0_seq1_m.7065 Au
1 7.55 comp18203_c0_seq2_m.23064 Au
1 7.55 comp16918_c0_seq1_m.9245 Au
1 7.55 comp7458_c0_seq1_m.2954 Au
1 7.55 comp10103_c0_seq1_m.4562 Au
1 7.55 comp17693_c0_seq1_m.9704 Au
1 7.55 comp9780_c0_seq1_m.4352 Au
1 7.55 comp15716_c0_seq1_m.28569 Au
1 7.55 comp18578_c0_seq1_m.25944 Au
1 7.55 comp15280_c0_seq2_m.22193 Au
1 7.55 comp15643_c0_seq1_m.8443 Au
1 7.55 comp11427_c0_seq1_m.20369 Au
1 7.55 comp14132_c0_seq1_m.7376 Au
1 7.55 comp15480_c0_seq1_m.8322 Au
1 7.55 comp11277_c0_seq1_m.5335 Au
1 7.55 comp14923_c0_seq1_m.7925 Au
1 7.55 comp11390_c0_seq1_m.5411 Au
1 7.55 comp13939_c0_seq1_m.7223 Au
1 7.55 comp17559_c0_seq1_m.9634 Au
1 7.55 comp10517_c0_seq1_m.4834 Au
1 7.55 comp17982_c0_seq3_m.25937 Au
1 7.55 comp15791_c0_seq1_m.8529 Au
1 7.55 comp20335_c0_seq1_m.10635 Au
1 7.55 comp12934_c0_seq1_m.6545 Au
1 7.55 comp14607_c0_seq1_m.7712 Au
1 7.55 comp15948_c0_seq2_m.19415 Au
1 7.55 comp6382_c0_seq1_m.2296 Au
1 7.55 comp17423_c1_seq1_m.32999 Au
1 7.55 comp15288_c0_seq1_m.8193 Au
1 7.55 comp13750_c0_seq1_m.7097 Au
1 7.55 comp17093_c0_seq1_m.9351 Au
1 7.55 comp10212_c0_seq1_m.4631 Au
1 7.55 comp16758_c2_seq1_m.36070 Au
1 7.55 comp9168_c0_seq1_m.3952 Au
1 7.55 comp18713_c0_seq2_m.36496 Au
1 7.55 comp10093_c0_seq1_m.4555 Au
1 7.55 comp7444_c0_seq2_m.26246 Au
1 7.55 comp6703_c0_seq1_m.2473 Au
1 7.55 comp10507_c0_seq1_m.4830 Au
1 7.55 comp11568_c0_seq1_m.5532 Au
1 7.55 comp10976_c0_seq1_m.5159 Au
1 7.55 comp18115_c0_seq1_m.9953 Au
1 7.55 comp18578_c0_seq1_m.25945 Au
1 7.55 comp13939_c0_seq1_m.7222 Au
1 7.55 comp11264_c0_seq1_m.18303 Au
1 7.55 comp7910_c0_seq1_m.3209 Au
1 7.55 comp8423_c0_seq1_m.3485 Au
1 7.55 comp15368_c0_seq1_m.8245 Au
1 7.55 comp13522_c0_seq2_m.17685 Au
1 7.55 comp17559_c0_seq1_m.9635 Au
1 7.55 comp13640_c0_seq1_m.7022 Au
1 7.55 comp12381_c0_seq1_m.6129 Au
1 7.55 comp14102_c0_seq1_m.7345 Au
1 7.55 comp11241_c0_seq1_m.23971 Au
1 7.55 comp14102_c0_seq1_m.7346 Au
1 7.55 comp15036_c0_seq2_m.21341 Au
1 7.55 comp11523_c0_seq1_m.5502 Au
1 7.55 comp13255_c0_seq1_m.6771 Au
1 7.55 comp18256_c0_seq1_m.18072 Au
1 7.55 comp10378_c0_seq1_m.4736 Au
1 7.55 comp115655_c0_seq1_m.13313 Au
1 7.55 comp18293_c0_seq1_m.32139 Au
1 7.55 comp11849_c1_seq1_m.16055 Au
1 7.55 comp16084_c0_seq1_m.25642 Au
1 7.55 comp7054_c0_seq1_m.2705 Au
1 7.55 comp12818_c0_seq1_m.19584 Au
1 7.55 comp16020_c0_seq1_m.21662 Au
1 7.55 comp17837_c0_seq1_m.16891 Au
1 7.55 comp18293_c1_seq1_m.32141 Au
1 7.55 comp13256_c0_seq1_m.6772 Au
1 7.55 comp17093_c0_seq1_m.9350 Au
1 7.55 comp17110_c0_seq1_m.35859 Au
1 7.55 comp16509_c0_seq1_m.8989 Au
