gene	xy_dn	xy_ds	
comp10067_c0_seq1_m.4538	-0.0000	0.0079
comp10107_c0_seq1_m.4565	0.0077	0.0139
comp10150_c0_seq1_m.4589	-0.0000	0.0061
comp10162_c0_seq1_m.4598	0.0035	0.0252
comp10162_c0_seq1_m.4599	0.0178	0.0057
comp10197_c0_seq1_m.4622	-0.0000	0.0035
comp102097_c0_seq1_m.12869	0.0097	0.0082
comp10236_c0_seq2_m.20680	0.0022	0.0062
comp102767_c0_seq1_m.12922	0.0025	-0.0000
comp10302_c0_seq1_m.4688	0.0009	0.0325
comp10302_c0_seq1_m.4689	0.0016	0.0077
comp10381_c0_seq1_m.4738	-0.0000	0.0032
comp10388_c0_seq1_m.4744	0.0013	0.0019
comp10453_c0_seq1_m.30388	-0.0000	0.0111
comp10457_c0_seq1_m.4789	-0.0000	0.0082
comp10500_c0_seq1_m.4826	0.0014	0.0034
comp1054_c0_seq1_m.21092	0.0026	0.0301
comp10565_c0_seq1_m.4873	0.0038	0.0108
comp10616_c1_seq1_m.21885	0.0056	0.0067
comp10669_c0_seq1_m.4947	0.0039	0.0240
comp10710_c0_seq1_m.34431	0.0012	0.0120
comp107583_c0_seq1_m.13069	0.0048	-0.0000
comp10770_c0_seq1_m.5020	0.0008	0.0024
comp10775_c0_seq1_m.5023	-0.0000	0.0148
comp10782_c0_seq1_m.5030	0.0044	-0.0000
comp10787_c0_seq1_m.25316	-0.0000	0.0044
comp10817_c0_seq1_m.5053	0.0035	-0.0000
comp10847_c0_seq1_m.24538	0.0012	0.0019
comp10859_c0_seq1_m.5077	0.0037	-0.0000
comp10902_c0_seq2_m.25403	-0.0000	0.0220
comp10908_c0_seq1_m.23744	-0.0000	0.0160
comp10953_c0_seq1_m.5140	0.0012	0.0035
comp11011_c2_seq1_m.23392	-0.0000	0.0196
comp11083_c0_seq1_m.5228	0.0015	-0.0000
comp11136_c0_seq1_m.5260	-0.0000	0.0027
comp11155_c0_seq2_m.25333	-0.0000	0.0036
comp11162_c0_seq1_m.29033	-0.0000	0.0046
comp11174_c0_seq1_m.28665	0.0053	0.0109
comp11193_c0_seq1_m.5291	-0.0000	0.0046
comp11194_c0_seq1_m.5292	-0.0000	0.0031
comp11198_c0_seq1_m.5296	0.0012	0.0034
comp11253_c0_seq1_m.5325	-0.0000	0.0159
comp11255_c0_seq1_m.5327	-0.0000	0.0045
comp11282_c1_seq1_m.38735	0.0024	-0.0000
comp11315_c0_seq1_m.5359	0.0043	0.0111
comp11332_c0_seq1_m.17867	0.0078	0.0149
comp11335_c0_seq1_m.5371	-0.0000	0.0081
comp11337_c0_seq1_m.25933	-0.0000	0.0036
comp11355_c0_seq1_m.5381	0.0080	-0.0000
comp11397_c0_seq1_m.27212	0.0018	0.0078
comp11420_c0_seq1_m.5428	0.0020	-0.0000
comp11472_c0_seq1_m.5457	-0.0000	0.0012
comp11480_c0_seq1_m.5467	-0.0000	0.0078
comp11528_c0_seq1_m.5505	-0.0000	0.0016
comp11543_c0_seq1_m.25996	0.0028	-0.0000
comp11546_c0_seq1_m.5518	-0.0000	0.0080
comp11604_c0_seq2_m.30728	0.0032	-0.0000
comp11641_c0_seq1_m.26320	-0.0000	0.0054
comp11700_c0_seq1_m.5642	0.0012	0.0078
comp11712_c0_seq1_m.5649	0.0023	0.0058
comp11714_c0_seq1_m.16484	0.0042	0.0107
comp11726_c0_seq1_m.5659	-0.0000	0.0056
comp11750_c0_seq1_m.5675	0.0042	0.0122
comp11761_c0_seq1_m.5680	-0.0000	0.0034
comp11790_c0_seq1_m.5704	0.0007	0.0183
comp11806_c0_seq1_m.5711	-0.0000	0.0263
comp11822_c0_seq1_m.5726	-0.0000	0.0229
comp11828_c0_seq1_m.5731	0.0007	0.0021
comp11829_c0_seq1_m.5733	0.0013	0.0078
comp11829_c0_seq1_m.5734	0.0095	0.0107
comp118351_c0_seq1_m.13366	0.0034	-0.0000
comp11840_c0_seq1_m.5741	0.0015	0.0063
comp11868_c0_seq1_m.34144	-0.0000	0.0021
comp11869_c0_seq1_m.26296	-0.0000	0.0039
comp11881_c0_seq1_m.5769	0.0008	0.0022
comp11963_c0_seq1_m.5824	0.0010	0.0030
comp12080_c0_seq1_m.5906	0.0009	0.0058
comp12105_c0_seq1_m.37145	0.0017	0.0205
comp12128_c0_seq1_m.36004	0.0032	0.0032
comp12134_c0_seq1_m.5949	0.0029	0.0047
comp12162_c0_seq1_m.5973	0.0030	0.0176
comp12195_c0_seq1_m.5992	-0.0000	0.0046
comp12206_c0_seq1_m.17012	0.0027	-0.0000
comp12240_c0_seq2_m.24279	0.0019	0.0103
comp12243_c0_seq1_m.6020	0.0039	0.0135
comp12252_c0_seq1_m.6026	0.0036	0.0127
