query	target	target_begin	target_end	AlignmentLength
comp10273_c0_seq2_m.16997	scaffold_10	16435	20587	4152
comp10273_c0_seq2_m.16999	scaffold_10	20916	21239	323
comp8413_c0_seq1_m.33724	scaffold_10	23960	25002	1042
comp56952_c0_seq1_m.11718	scaffold_10	25420	26037	617
comp9013_c0_seq1_m.3861	scaffold_10	27174	35830	8656
comp9013_c0_seq1_m.3862	scaffold_10	36220	37094	874
comp16974_c0_seq1_m.37004	scaffold_10	40853	42280	1427
comp4997_c0_seq1_m.16284	scaffold_10	44755	46951	2196
comp13045_c0_seq3_m.35535	scaffold_10	48237	48930	693
comp6355_c0_seq1_m.2271	scaffold_10	53026	54293	1267
comp16797_c0_seq1_m.22305	scaffold_10	58632	67467	8835
comp19024_c0_seq2_m.31359	scaffold_100	6590	7082	492
comp19024_c0_seq12_m.31369	scaffold_100	13850	26888	13038
comp19024_c0_seq2_m.31356	scaffold_100	22132	22491	359
comp13667_c0_seq2_m.38249	scaffold_1000	381	33539	33158
comp12945_c0_seq1_m.6554	scaffold_1000	23698	24204	506
comp12945_c0_seq1_m.6558	scaffold_1000	26927	27901	974
comp12945_c0_seq1_m.6557	scaffold_1000	28329	28661	332
comp12945_c0_seq1_m.6555	scaffold_1000	28683	29294	611
comp17792_c0_seq1_m.9765	scaffold_1001	253	10499	10246
comp9887_c0_seq1_m.22781	scaffold_1002	165	5278	5113
comp10552_c0_seq1_m.18945	scaffold_1002	6223	7417	1194
comp12839_c0_seq1_m.25112	scaffold_1002	8996	9748	752
comp18267_c0_seq1_m.10050	scaffold_1002	10327	15653	5326
comp16319_c0_seq1_m.8869	scaffold_1003	30	2902	2872
comp16319_c0_seq1_m.8868	scaffold_1003	4434	8303	3869
comp8580_c0_seq1_m.15416	scaffold_1003	9390	11400	2010
comp14413_c0_seq1_m.20207	scaffold_1005	501	15242	14741
comp14413_c0_seq1_m.20208	scaffold_1005	15424	19821	4397
comp13486_c0_seq1_m.26775	scaffold_1005	21790	23052	1262
comp9562_c0_seq1_m.4223	scaffold_1005	24542	25653	1111
comp9562_c0_seq1_m.4222	scaffold_1005	25934	28472	2538
comp11990_c0_seq1_m.29551	scaffold_1005	30002	32518	2516
comp19009_c0_seq12_m.20459	scaffold_1006	11885	12078	193
