CHROM	sites	length	PI
comp10001_c0_seq1_m.21415	0	726	0
comp10001_c0_seq1_m.21416	3	561	0.0053475935828877
comp10002_c0_seq1_m.21648	0	1200	0
comp10002_c0_seq1_m.21649	1	624	0.0016025641025641
comp10004_c0_seq1_m.4495	2	339	0.00589970501474926
comp10005_c0_seq1_m.23150	1	1335	0.000749063670411985
comp10005_c0_seq1_m.23151	0	480	0
comp10006_c0_seq1_m.4496	18	1632	0.0110294117647059
comp10006_c0_seq1_m.4497	25	1365	0.0183150183150183
comp10006_c0_seq1_m.4498	4	396	0.0101010101010101
comp10007_c0_seq1_m.4499	2	2436	0.000821018062397373
comp10009_c0_seq1_m.4502	7	1383	0.00506146059291396
comp10009_c0_seq1_m.4503	4	633	0.00631911532385466
comp10010_c0_seq1_m.36526	1	1230	0.000813008130081301
comp10012_c0_seq1_m.4505	4	1383	0.00289226319595083
comp100142_c0_seq1_m.12843	2	570	0.00350877192982456
comp100142_c0_seq1_m.12844	0	339	0
comp10014_c0_seq1_m.4506	0	732	0
comp10016_c0_seq1_m.4507	3	3348	0.000896057347670251
comp10019_c0_seq1_m.21888	10	417	0.0239808153477218
comp10019_c1_seq1_m.21889	6	468	0.0128205128205128
comp1001_c0_seq1_m.22220	0	714	0
comp10020_c0_seq1_m.4509	3	579	0.00518134715025907
comp10021_c0_seq1_m.35121	0	912	0
comp10023_c0_seq1_m.4510	6	351	0.0170940170940171
comp10023_c0_seq1_m.4511	0	348	0
comp10024_c0_seq1_m.4512	1	327	0.00305810397553517
comp10025_c0_seq1_m.4513	12	1068	0.0112359550561798
comp10026_c0_seq1_m.4514	22	714	0.030812324929972
comp10027_c0_seq1_m.16435	2	300	0.00666666666666667
comp10028_c0_seq1_m.4515	11	675	0.0162962962962963
comp10029_c0_seq1_m.4516	7	483	0.0144927536231884
comp10029_c0_seq1_m.4517	5	384	0.0130208333333333
comp10030_c0_seq1_m.4518	1	1281	0.00078064012490242
comp10031_c0_seq1_m.38930	0	1170	0
comp10031_c0_seq2_m.38934	7	2517	0.00278108859753675
comp10032_c0_seq1_m.38860	1	522	0.00191570881226054
comp10034_c0_seq1_m.4519	2	1377	0.00145243282498184
comp100380_c0_seq1_m.12846	36	405	0.0888888888888889
comp10038_c0_seq1_m.4521	1	942	0.00106157112526539
comp100393_c0_seq1_m.12847	4	399	0.0100250626566416
comp100395_c0_seq1_m.12848	5	303	0.0165016501650165
comp10039_c0_seq1_m.27784	14	1017	0.0137659783677483
comp10041_c0_seq1_m.22296	13	1194	0.0108877721943049
comp10041_c0_seq2_m.22297	0	642	0
comp100420_c0_seq1_m.12849	0	426	0
comp100427_c0_seq1_m.12850	9	1920	0.0046875
comp10042_c0_seq1_m.4522	1	363	0.00275482093663912
comp10043_c0_seq1_m.18825	5	2340	0.00213675213675214
comp10044_c0_seq1_m.4523	0	630	0
comp10045_c0_seq1_m.4524	5	933	0.00535905680600214
comp10046_c0_seq1_m.21064	8	1623	0.00492914356130622
comp10046_c0_seq1_m.21065	7	402	0.0174129353233831
comp10048_c0_seq1_m.4526	1	840	0.00119047619047619
comp10049_c0_seq1_m.4527	2	2322	0.000861326442721792
comp10050_c0_seq2_m.32505	3	336	0.00892857142857143
comp10051_c0_seq1_m.4528	3	711	0.00421940928270042
comp10052_c0_seq1_m.4529	0	1080	0
comp10053_c0_seq1_m.4530	0	612	0
comp10055_c1_seq1_m.38517	4	309	0.0129449838187702
comp10056_c0_seq1_m.30770	1	570	0.00175438596491228
