an_hu	gene
Mannua_Huetti.1.nuc comp10005_c0_seq1_m.23150
Mannua_Huetti.10.nuc comp10020_c0_seq1_m.4509
Mannua_Huetti.100.nuc comp10213_c0_seq1_m.4632
Mannua_Huetti.1000.nuc comp11770_c0_seq1_m.5684
Mannua_Huetti.1001.nuc comp11771_c0_seq1_m.5685
Mannua_Huetti.1002.nuc comp11772_c0_seq1_m.5686
Mannua_Huetti.1003.nuc comp11774_c1_seq1_m.19074
Mannua_Huetti.1004.nuc comp11775_c0_seq1_m.21422
Mannua_Huetti.1005.nuc comp11777_c0_seq1_m.5688
Mannua_Huetti.1006.nuc comp11778_c0_seq1_m.5691
Mannua_Huetti.1007.nuc comp11780_c0_seq3_m.25815
Mannua_Huetti.1008.nuc comp11781_c0_seq1_m.5692
Mannua_Huetti.1009.nuc comp11785_c0_seq1_m.5696
Mannua_Huetti.101.nuc comp10214_c0_seq1_m.19944
Mannua_Huetti.1010.nuc comp11786_c0_seq1_m.38544
Mannua_Huetti.1011.nuc comp11787_c0_seq1_m.5698
Mannua_Huetti.1012.nuc comp11789_c0_seq1_m.5702
Mannua_Huetti.1013.nuc comp11790_c0_seq1_m.5704
Mannua_Huetti.1014.nuc comp11793_c0_seq1_m.31970
Mannua_Huetti.1015.nuc comp11794_c0_seq1_m.35468
Mannua_Huetti.1016.nuc comp11795_c0_seq1_m.5705
Mannua_Huetti.1017.nuc comp11798_c0_seq1_m.5708
Mannua_Huetti.1018.nuc comp11799_c0_seq1_m.5709
Mannua_Huetti.1019.nuc comp11800_c0_seq1_m.5710
Mannua_Huetti.102.nuc comp10216_c0_seq1_m.28263
Mannua_Huetti.1020.nuc comp11801_c0_seq1_m.28717
Mannua_Huetti.1021.nuc comp11805_c0_seq1_m.17457
Mannua_Huetti.1022.nuc comp11807_c0_seq1_m.24422
Mannua_Huetti.1023.nuc comp11809_c0_seq1_m.5714
Mannua_Huetti.1024.nuc comp11810_c0_seq1_m.32860
Mannua_Huetti.1025.nuc comp11811_c0_seq1_m.5715
Mannua_Huetti.1026.nuc comp11813_c0_seq1_m.5718
Mannua_Huetti.1027.nuc comp11814_c0_seq1_m.5719
Mannua_Huetti.1028.nuc comp11816_c0_seq1_m.5720
Mannua_Huetti.1029.nuc comp11817_c0_seq1_m.5721
Mannua_Huetti.103.nuc comp102187_c0_seq1_m.12881
Mannua_Huetti.1030.nuc comp11817_c0_seq1_m.5722
Mannua_Huetti.1031.nuc comp11818_c0_seq1_m.5723
Mannua_Huetti.1032.nuc comp11820_c0_seq1_m.5724
Mannua_Huetti.1033.nuc comp11822_c0_seq1_m.5726
Mannua_Huetti.1034.nuc comp118247_c0_seq1_m.13361
Mannua_Huetti.1035.nuc comp11825_c1_seq1_m.28768
Mannua_Huetti.1036.nuc comp11826_c0_seq1_m.5729
Mannua_Huetti.1037.nuc comp11827_c0_seq1_m.17698
Mannua_Huetti.1038.nuc comp11828_c0_seq1_m.5731
Mannua_Huetti.1039.nuc comp11829_c0_seq1_m.5733
Mannua_Huetti.104.nuc comp10218_c0_seq5_m.26219
Mannua_Huetti.1040.nuc comp11830_c0_seq1_m.5735
Mannua_Huetti.1041.nuc comp11832_c0_seq1_m.5736
Mannua_Huetti.1042.nuc comp11834_c0_seq1_m.33183
Mannua_Huetti.1043.nuc comp11835_c0_seq2_m.26087
Mannua_Huetti.1044.nuc comp11836_c0_seq1_m.5738
Mannua_Huetti.1045.nuc comp11841_c0_seq1_m.5742
Mannua_Huetti.1046.nuc comp11846_c0_seq1_m.5746
Mannua_Huetti.1047.nuc comp11847_c0_seq1_m.22637
Mannua_Huetti.1048.nuc comp11847_c0_seq1_m.22638
Mannua_Huetti.1049.nuc comp11848_c0_seq1_m.5747
Mannua_Huetti.105.nuc comp10219_c0_seq1_m.4633
Mannua_Huetti.1050.nuc comp11849_c1_seq1_m.16055
Mannua_Huetti.1051.nuc comp11852_c0_seq1_m.5750
Mannua_Huetti.1052.nuc comp11854_c0_seq1_m.5752
Mannua_Huetti.1053.nuc comp11855_c0_seq1_m.5753
Mannua_Huetti.1054.nuc comp11856_c0_seq1_m.5754
Mannua_Huetti.1055.nuc comp11857_c0_seq1_m.26653
Mannua_Huetti.1056.nuc comp11858_c0_seq3_m.26488
Mannua_Huetti.1057.nuc comp11859_c0_seq1_m.23611
