an_ric	an_ric_dn	an_ric_ds	an_ric_dnds
Mannua_Ricinus.1003.nuc	0.0685	0.8181	0.0837305952817504
Mannua_Ricinus.1010.nuc	0.0436	0.3084	0.141374837872892
Mannua_Ricinus.1013.nuc	0.0543	0.6737	0.0805996734451536
Mannua_Ricinus.1018.nuc	0.0667	0.4440	0.150225225225225
Mannua_Ricinus.1019.nuc	0.1228	0.4424	0.277576853526221
Mannua_Ricinus.102.nuc	0.1211	1.2416	0.0975354381443299
Mannua_Ricinus.1026.nuc	0.1351	0.4725	0.285925925925926
Mannua_Ricinus.1027.nuc	0.0478	0.9339	0.0511832101938109
Mannua_Ricinus.1029.nuc	0.1678	0.5367	0.31265138811254
Mannua_Ricinus.1031.nuc	0.0620	0.5949	0.104219196503614
Mannua_Ricinus.1033.nuc	0.0224	0.5637	0.0397374489976938
Mannua_Ricinus.1035.nuc	0.1374	0.5031	0.273106738223017
Mannua_Ricinus.1036.nuc	0.0492	0.5622	0.0875133404482391
Mannua_Ricinus.104.nuc	0.0444	0.5516	0.0804931109499638
Mannua_Ricinus.1040.nuc	0.0280	0.6021	0.0465039030061452
Mannua_Ricinus.1042.nuc	0.1068	0.4722	0.226175349428208
Mannua_Ricinus.1043.nuc	0.0796	0.4335	0.183621683967705
Mannua_Ricinus.1044.nuc	0.0912	0.6999	0.130304329189884
Mannua_Ricinus.1045.nuc	0.0376	0.7529	0.0499402311063886
Mannua_Ricinus.1046.nuc	0.0225	0.7658	0.029381039435884
Mannua_Ricinus.105.nuc	0.1064	0.8360	0.127272727272727
Mannua_Ricinus.1051.nuc	0.0658	0.5226	0.125908916953693
Mannua_Ricinus.1053.nuc	0.1231	0.4113	0.299294918550936
Mannua_Ricinus.1057.nuc	0.1679	0.5603	0.299660895948599
Mannua_Ricinus.1058.nuc	0.0694	0.8371	0.0829052681877912
Mannua_Ricinus.1059.nuc	0.0531	0.3940	0.134771573604061
Mannua_Ricinus.106.nuc	0.0309	0.3979	0.0776577029404373
Mannua_Ricinus.1061.nuc	0.1235	0.4759	0.259508300063038
Mannua_Ricinus.1062.nuc	0.1327	0.4132	0.321151984511133
Mannua_Ricinus.1063.nuc	0.0836	0.4602	0.181660147761843
Mannua_Ricinus.1064.nuc	0.0483	0.8634	0.0559416261292564
Mannua_Ricinus.1066.nuc	0.0266	0.7341	0.0362348453889116
Mannua_Ricinus.1067.nuc	0.1486	0.7337	0.202535096088319
Mannua_Ricinus.1069.nuc	0.0238	0.3725	0.0638926174496644
Mannua_Ricinus.107.nuc	0.1494	0.7716	0.193623639191291
Mannua_Ricinus.1070.nuc	0.1645	0.3669	0.448351049332243
Mannua_Ricinus.1071.nuc	0.0705	0.5517	0.12778684067428
Mannua_Ricinus.1072.nuc	0.0617	0.6137	0.100537722014013
Mannua_Ricinus.1073.nuc	0.0650	0.6143	0.105811492755982
Mannua_Ricinus.1075.nuc	0.0630	0.4610	0.136659436008677
Mannua_Ricinus.1077.nuc	0.0322	0.3316	0.0971049457177322
Mannua_Ricinus.1078.nuc	0.0341	0.5205	0.0655139289145053
Mannua_Ricinus.108.nuc	0.0915	0.5231	0.174918753584401
Mannua_Ricinus.1084.nuc	0.0472	0.7042	0.0670264129508662
Mannua_Ricinus.1085.nuc	0.0590	0.5215	0.11313518696069
Mannua_Ricinus.1086.nuc	0.0799	0.3626	0.220353006067292
Mannua_Ricinus.1087.nuc	0.0931	0.5583	0.166756224252194
Mannua_Ricinus.109.nuc	0.0974	1.2178	0.0799802923304319
Mannua_Ricinus.1092.nuc	0.1608	0.3373	0.476726949303291
Mannua_Ricinus.1097.nuc	0.0599	0.6210	0.0964573268921095
Mannua_Ricinus.110.nuc	0.0637	0.4117	0.154724313820743
Mannua_Ricinus.1100.nuc	0.0483	0.5526	0.0874049945711184
Mannua_Ricinus.1105.nuc	0.0961	0.4167	0.230621550275978
Mannua_Ricinus.1108.nuc	0.1386	0.3400	0.407647058823529
Mannua_Ricinus.1110.nuc	0.0716	0.6348	0.112791430371771
Mannua_Ricinus.1115.nuc	0.0398	0.4999	0.0796159231846369
Mannua_Ricinus.1118.nuc	0.0568	0.8443	0.0672746654032927
Mannua_Ricinus.1119.nuc	0.0748	0.4442	0.168392615938766
Mannua_Ricinus.112.nuc	0.0435	0.6408	0.0678838951310861
