id	go
comp0_c0_seq1_m.37635	GO:0005634,GO:0009507,GO:0015020,GO:0050403,GO:0050502,GO:0080043,GO:0080044,GO:0009813,GO:0052696,GO:1900994
comp10001_c0_seq1_m.21415	GO:0009534,GO:0009941,GO:0016020,GO:0050833,GO:0006849
comp10001_c0_seq1_m.21416	GO:0009534,GO:0009941,GO:0016020,GO:0050833,GO:0006849
comp10002_c0_seq1_m.21648	GO:0005774,GO:0005783,GO:0005794,GO:0005886,GO:0047412,GO:0050537,GO:0042742,GO:0070291
comp10002_c0_seq1_m.21649	GO:0005774,GO:0005783,GO:0005794,GO:0005886,GO:0047412,GO:0042742,GO:0070291
comp10002_c0_seq3_m.21650	GO:0005773,GO:0005783,GO:0016020,GO:0044446,GO:0016811
comp10005_c0_seq1_m.23150	GO:0009536,GO:0016020,GO:0006810
comp10005_c0_seq3_m.23152	GO:0009536,GO:0016020,GO:0006810
comp10006_c0_seq1_m.4496	GO:0005774,GO:0005783,GO:0005819,GO:0005886,GO:0009504,GO:0009507,GO:0009524,GO:0031965,GO:0032153,GO:0005096,GO:0005515,GO:0000911,GO:0001818,GO:0006606,GO:0009651,GO:0050794
comp10006_c0_seq1_m.4497	GO:0005773,GO:0009534,GO:0009941,GO:0010287,GO:0032991,GO:0048046,GO:0003729,GO:0003824,GO:0005515,GO:0008266,GO:0019843,GO:0050662,GO:0005975,GO:0006364,GO:0006950,GO:0009605,GO:0009628,GO:0009735,GO:0009737,GO:0009791,GO:0032544,GO:0045727,GO:0045893,GO:0071229,GO:1901701
comp10006_c0_seq1_m.4498	GO:0005640,GO:0005774,GO:0005783,GO:0005819,GO:0005829,GO:0005886,GO:0009504,GO:0009507,GO:0009524,GO:0032153,GO:0005096,GO:0005515,GO:0000911,GO:0006606,GO:0007067,GO:0009651,GO:0048527
comp10007_c0_seq1_m.4499	GO:0005634,GO:0005773,GO:0005783,GO:0005829,GO:0005886,GO:0009506,GO:0009507,GO:0030136,GO:0031966,GO:0004630,GO:0005096,GO:0005509,GO:0005515,GO:0005546,GO:0070290,GO:0006631,GO:0009738,GO:0009789,GO:0009845,GO:0009873,GO:0010119,GO:0010358,GO:0034638,GO:0046686
comp10007_c0_seq1_m.4500	GO:0005773,GO:0005783,GO:0005886,GO:0009536,GO:0004630,GO:0005509,GO:0070290,GO:0034638
comp10007_c0_seq1_m.4501	GO:0005773,GO:0005783,GO:0005886,GO:0009941,GO:0030136,GO:0004630,GO:0005509,GO:0070290,GO:0006643,GO:0009738,GO:0009873,GO:0034638
comp10009_c0_seq1_m.4502	GO:0005488,GO:0006281,GO:0009411
comp10009_c0_seq1_m.4503	GO:0005654,GO:0005730,GO:0016035,GO:0000166,GO:0003677,GO:0003887,GO:0005515,GO:0008408,GO:0046872,GO:0051539,GO:0006261,GO:0010224,GO:0042276,GO:0071494
comp10010_c0_seq1_m.36526	GO:0005622,GO:0005886,GO:0003677,GO:0005515,GO:0006355
comp10010_c0_seq1_m.36527	GO:0005622,GO:0005886,GO:0005515,GO:0043565,GO:0044212,GO:0006355
comp100112_c0_seq1_m.12842	GO:0016787,GO:0043170,GO:0044238
