an_hu	an_hu_dn	an_hu_ds	an_hu_dnds
Mannua_Huetti.1.nuc	0.0140	0.0754	0.185676392572944
Mannua_Huetti.10.nuc	0.0282	0.3289	0.0857403466099118
Mannua_Huetti.100.nuc	0.0174	0.1155	0.150649350649351
Mannua_Huetti.1000.nuc	0.0044	0.1040	0.0423076923076923
Mannua_Huetti.1001.nuc	0.0677	0.1477	0.458361543669601
Mannua_Huetti.1002.nuc	0.0129	0.1213	0.106347897774114
Mannua_Huetti.1003.nuc	0.0125	0.1352	0.0924556213017752
Mannua_Huetti.1005.nuc	0.0119	0.0942	0.126326963906582
Mannua_Huetti.1006.nuc	0.0013	0.1401	0.0092790863668808
Mannua_Huetti.1008.nuc	0.0199	0.0775	0.256774193548387
Mannua_Huetti.1009.nuc	0.0053	0.1351	0.0392301998519615
Mannua_Huetti.101.nuc	0.0071	0.0511	0.13894324853229
Mannua_Huetti.1010.nuc	0.0079	0.1402	0.0563480741797432
Mannua_Huetti.1011.nuc	0.0060	0.0876	0.0684931506849315
Mannua_Huetti.1012.nuc	0.0259	0.1196	0.216555183946488
Mannua_Huetti.1013.nuc	0.0107	0.1139	0.0939420544337138
Mannua_Huetti.1014.nuc	0.0274	0.0975	0.281025641025641
Mannua_Huetti.1015.nuc	0.0214	0.0755	0.283443708609272
Mannua_Huetti.102.nuc	0.0232	0.1499	0.154769846564376
Mannua_Huetti.1020.nuc	0.0376	0.1225	0.306938775510204
Mannua_Huetti.1023.nuc	-0.0000	0.0423	0
Mannua_Huetti.1024.nuc	0.0223	0.0649	0.343605546995377
Mannua_Huetti.1025.nuc	0.0206	0.1388	0.148414985590778
Mannua_Huetti.1026.nuc	0.0182	0.0916	0.198689956331878
Mannua_Huetti.1027.nuc	0.0017	0.1103	0.0154125113327289
Mannua_Huetti.1028.nuc	0.0210	0.1023	0.205278592375367
Mannua_Huetti.1029.nuc	0.0196	0.0842	0.232779097387173
Mannua_Huetti.1030.nuc	0.0072	0.0835	0.0862275449101796
Mannua_Huetti.1031.nuc	0.0070	0.0882	0.0793650793650794
Mannua_Huetti.1032.nuc	0.0260	0.1881	0.138224348750665
Mannua_Huetti.1033.nuc	-0.0000	0.1054	0
Mannua_Huetti.1034.nuc	0.0076	0.1012	0.075098814229249
Mannua_Huetti.1035.nuc	0.0238	0.0733	0.324693042291951
Mannua_Huetti.1036.nuc	0.0050	0.1663	0.0300661455201443
Mannua_Huetti.1037.nuc	0.0209	0.1253	0.166799680766161
Mannua_Huetti.1038.nuc	0.0089	0.1272	0.0699685534591195
Mannua_Huetti.1039.nuc	0.0198	0.1726	0.114716106604867
Mannua_Huetti.104.nuc	0.0022	0.0812	0.0270935960591133
Mannua_Huetti.1040.nuc	0.0019	0.0567	0.0335097001763668
Mannua_Huetti.1041.nuc	0.0334	0.0729	0.458161865569273
Mannua_Huetti.1042.nuc	0.0219	0.0979	0.223697650663943
Mannua_Huetti.1044.nuc	0.0167	0.1385	0.12057761732852
Mannua_Huetti.1045.nuc	0.0008	0.1444	0.00554016620498615
Mannua_Huetti.1046.nuc	0.0048	0.2067	0.02322206095791
Mannua_Huetti.1047.nuc	0.0517	0.2195	0.235535307517084
Mannua_Huetti.1048.nuc	0.0395	0.1045	0.37799043062201
Mannua_Huetti.1049.nuc	0.0089	0.0418	0.212918660287081
Mannua_Huetti.1050.nuc	0.0124	0.0639	0.194053208137715
Mannua_Huetti.1051.nuc	0.0070	0.0223	0.31390134529148
Mannua_Huetti.1052.nuc	0.0085	0.0672	0.126488095238095
Mannua_Huetti.1053.nuc	0.0145	0.0497	0.291750503018109
Mannua_Huetti.1054.nuc	0.0119	0.0539	0.220779220779221
Mannua_Huetti.1055.nuc	0.0197	0.1602	0.122971285892634
Mannua_Huetti.1059.nuc	0.0079	0.0612	0.129084967320261
Mannua_Huetti.106.nuc	0.0017	0.0317	0.0536277602523659
Mannua_Huetti.1060.nuc	0.0130	0.1132	0.114840989399293
