ID	gene
"comp0_c0_seq1_m.37635"	"ugt2_garja ame: full=7-deoxyloganetin glucosyltransferase ame: full=genipin glucosyltransferase ame: full=udp-glucose glucosyltransferase 2 short= 2 ame: full=udp-glycosyltransferase 85a24"
"comp10001_c0_seq1_m.21415"	"bass1_arath ame: full=probable sodium metabolite cotransporter chloroplastic ame: full=bile acid transporter 2 ame: full=bile acid-sodium symporter family protein 1 flags: precursor"
"comp10001_c0_seq1_m.21416"	"bass2_arath ame: full=sodium pyruvate cotransporter chloroplastic ame: full=bile acid transporter 1 ame: full=bile acid-sodium symporter family protein 2 flags: precursor"
"comp10002_c0_seq1_m.21648"	"faah_arath ame: full=fatty acid amide hydrolase ame: full=n-acylethanolamine amidohydrolase"
"comp10002_c0_seq1_m.21649"	"faah_arath ame: full=fatty acid amide hydrolase ame: full=n-acylethanolamine amidohydrolase"
"comp10002_c0_seq3_m.21650"	"faah_arath ame: full=fatty acid amide hydrolase ame: full=n-acylethanolamine amidohydrolase"
"comp10005_c0_seq1_m.23150"	"cema_rhdsa ame: full=chloroplast envelope membrane protein"
"comp10005_c0_seq3_m.23152"	"cema_sollc ame: full=chloroplast envelope membrane protein"
"comp10006_c0_seq1_m.4496"	"ragp1_arath ame: full=ran gtpase-activating protein 1 short= angap1 short= 1"
"comp10006_c0_seq1_m.4497"	"cp41a_arath ame: full=chloroplast stem-loop binding protein of 41 kda chloroplastic short=csp41-a flags: precursor"
"comp10006_c0_seq1_m.4498"	"ragp1_arath ame: full=ran gtpase-activating protein 1 short= angap1 short= 1"
"comp10007_c0_seq1_m.4499"	"plda1_ricco ame: full=phospholipase d alpha 1 short=pld 1 ame: full=choline phosphatase 1 ame: full=phosphatidylcholine-hydrolyzing phospholipase d 1 flags: precursor"
"comp10007_c0_seq1_m.4500"	"plda1_ricco ame: full=phospholipase d alpha 1 short=pld 1 ame: full=choline phosphatase 1 ame: full=phosphatidylcholine-hydrolyzing phospholipase d 1 flags: precursor"
"comp10007_c0_seq1_m.4501"	"plda1_ricco ame: full=phospholipase d alpha 1 short=pld 1 ame: full=choline phosphatase 1 ame: full=phosphatidylcholine-hydrolyzing phospholipase d 1 flags: precursor"
"comp10009_c0_seq1_m.4502"	"rev3_arath ame: full=dna polymerase zeta catalytic subunit ame: full=protein reversionless 3-like short= 3"
"comp10009_c0_seq1_m.4503"	"rev3_arath ame: full=dna polymerase zeta catalytic subunit ame: full=protein reversionless 3-like short= 3"
"comp10010_c0_seq1_m.36526"	"col14_arath ame: full=zinc finger protein constans-like 14"
"comp10010_c0_seq1_m.36527"	"col13_arath ame: full=zinc finger protein constans-like 13"
"comp100112_c0_seq1_m.12842"	"copia_drome ame: full=copia protein ame: full=gag-int-pol protein contains: ame: full=copia vlp protein contains: ame: full=copia protease"
"comp10011_c0_seq1_m.4504"	"gae5_arath ame: full=udp-glucuronate 4-epimerase 5 ame: full=udp-glucuronic acid epimerase 5"
"comp10014_c0_seq1_m.4506"	"rl192_arath ame: full=60s ribosomal protein l19-2"
"comp10016_c0_seq1_m.4507"	"rdr1_arath ame: full=rna-dependent rna polymerase 1 short= 1 ame: full=rna-directed rna polymerase 1"
"comp10016_c0_seq1_m.4508"	"rdr1_arath ame: full=rna-dependent rna polymerase 1 short= 1 ame: full=rna-directed rna polymerase 1"
"comp10017_c0_seq1_m.32593"	"fmda_metme ame: full=formamidase ame: full=formamide amidohydrolase"
"comp10017_c0_seq2_m.32595"	"fmda_metme ame: full=formamidase ame: full=formamide amidohydrolase"
